               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              1.8254,              1.2792,              1.2811,             0.79789,             0.77846,             0.83983,             0.53693,              1.7442,              1.0365,              1.2669,            0.007228,            0.007228,            0.007228
                  37,              1.8069,              1.2705,              1.2748,             0.80326,             0.77465,             0.85245,             0.54519,              1.7252,              0.9952,              1.2647,           0.0071488,           0.0071488,           0.0071488
                  38,               1.782,              1.2495,              1.2683,             0.79131,             0.81143,             0.84832,             0.54091,              1.7242,              1.0147,              1.2656,           0.0070696,           0.0070696,           0.0070696
                  39,              1.7638,              1.2386,              1.2608,              0.8259,             0.76072,             0.84367,             0.55005,              1.6884,             0.99283,              1.2522,           0.0069904,           0.0069904,           0.0069904
                  40,              1.7545,              1.2205,              1.2569,              0.8165,             0.80208,             0.85922,             0.55633,              1.6903,             0.96067,               1.256,           0.0069112,           0.0069112,           0.0069112
                  41,              1.7353,              1.2031,              1.2589,             0.83881,              0.8029,             0.86284,             0.56066,              1.6676,             0.95091,              1.2516,            0.006832,            0.006832,            0.006832
                  42,              1.7171,              1.2007,              1.2538,             0.83403,             0.79172,             0.85613,             0.56566,              1.6401,             0.93276,                1.24,           0.0067528,           0.0067528,           0.0067528
                  43,              1.6979,              1.1782,              1.2448,             0.81874,             0.81128,             0.86905,             0.57242,              1.6275,             0.93541,              1.2355,           0.0066736,           0.0066736,           0.0066736
                  44,              1.6769,              1.1542,              1.2358,             0.84311,             0.79441,              0.8798,             0.57498,              1.6056,             0.93075,              1.2296,           0.0065944,           0.0065944,           0.0065944
                  45,               1.666,              1.1404,              1.2333,              0.8208,             0.80904,             0.87497,             0.58464,              1.5703,             0.90549,              1.2239,           0.0065152,           0.0065152,           0.0065152
                  46,              1.6592,               1.142,              1.2344,             0.82699,             0.84233,             0.88011,              0.5904,              1.5565,             0.88683,              1.2206,            0.006436,            0.006436,            0.006436
                  47,              1.6296,              1.1215,              1.2261,             0.83548,             0.82269,             0.87956,             0.59172,               1.536,             0.86733,              1.2132,           0.0063568,           0.0063568,           0.0063568
                  48,               1.619,              1.1047,              1.2233,             0.84302,             0.81928,             0.88035,             0.60734,              1.5145,             0.87176,              1.2059,           0.0062776,           0.0062776,           0.0062776
                  49,              1.5986,              1.0944,              1.2193,             0.84893,             0.79852,             0.88126,              0.6034,              1.4945,             0.84042,              1.2005,           0.0061984,           0.0061984,           0.0061984
                  50,              1.5901,              1.0863,               1.216,             0.85133,              0.8048,             0.88454,             0.61222,               1.474,             0.85642,              1.1961,           0.0061192,           0.0061192,           0.0061192
                  51,               1.585,              1.0708,              1.2064,             0.84359,             0.80163,             0.87518,             0.60431,              1.4856,             0.85665,              1.1987,             0.00604,             0.00604,             0.00604
                  52,              1.5619,              1.0614,              1.2075,             0.82933,             0.81643,             0.88192,             0.61451,              1.4409,             0.84206,              1.1898,           0.0059608,           0.0059608,           0.0059608
                  53,              1.5516,              1.0495,              1.2038,             0.83846,             0.83664,             0.89047,             0.62418,              1.4378,             0.84632,              1.1892,           0.0058816,           0.0058816,           0.0058816
                  54,              1.5337,              1.0366,              1.2026,             0.83502,             0.84862,             0.89472,             0.63602,              1.4073,             0.81953,              1.1787,           0.0058024,           0.0058024,           0.0058024
                  55,              1.5298,              1.0361,              1.1982,             0.86577,             0.84566,             0.89279,             0.63106,              1.4062,             0.79661,              1.1784,           0.0057232,           0.0057232,           0.0057232
                  56,               1.516,              1.0287,              1.1943,             0.83684,              0.8571,              0.8987,             0.63892,              1.3739,             0.78995,              1.1653,            0.005644,            0.005644,            0.005644
                  57,               1.503,              1.0119,              1.1914,             0.83276,             0.87331,             0.90306,             0.64621,              1.3546,             0.77457,              1.1599,           0.0055648,           0.0055648,           0.0055648
                  58,              1.4962,               1.011,              1.1899,             0.84413,             0.84817,             0.90394,             0.64658,              1.3517,             0.77877,              1.1613,           0.0054856,           0.0054856,           0.0054856
                  59,              1.4845,             0.99844,               1.193,             0.82994,             0.88366,             0.90678,             0.65191,              1.3446,              0.7704,               1.158,           0.0054064,           0.0054064,           0.0054064
                  60,              1.4729,             0.98792,              1.1851,             0.85826,              0.8469,             0.90062,             0.64557,              1.3365,             0.76166,              1.1614,           0.0053272,           0.0053272,           0.0053272
                  61,              1.4695,             0.99133,              1.1847,             0.85019,             0.85477,             0.90546,             0.65341,              1.3247,             0.75235,              1.1564,            0.005248,            0.005248,            0.005248
                  62,              1.4607,             0.98036,              1.1825,             0.86579,             0.87193,             0.91502,             0.65624,              1.3114,              0.7346,              1.1545,           0.0051688,           0.0051688,           0.0051688
